title,nbre_entrees,id,distributeur,country,genre,date,budget,public,durée,Name1,Name2,year,month,week,season
The Big Short : le Casse du siècle,307638,15505,Paramount,Etats-Unis,Film familial,2015-12-23,28000000,Tous publics,130,8,10,2015,12,52,4
Vue sur mer,14752,15507,Universal,Etats-Unis,Drame,2015-09-12,10000000,Tous publics,122,5,12,2015,9,37,3
Joy (2015),236272,15509,20th Century Fox,Etats-Unis,Comédie dramatique,2015-12-30,60000000,Tous publics,124,7,24,2015,12,53,4
The Danish Girl,118481,15540,Universal,Etats-Unis,Drame,2016-01-20,15000000,Tous publics,120,2,5,2016,1,3,1
Le Chasseur et la reine des glaces,391290,15541,Universal,Etats-Unis,Fantasy,2016-04-20,115000000,Tous publics,114,4,5,2016,4,16,2
Les Cowboys,114382,15542,Pathé,France,Drame,2015-11-25,7989318,Tous publics,105,6,1,2015,11,48,4
Gods Of Egypt,203332,15547,SND,Etats-Unis,Fantasy,2016-06-04,140000000,Tous publics,100,4,11,2016,6,22,2
Chocolat (2016),619509,15554,Gaumont,France,Comédie dramatique,2016-03-02,19297979,Tous publics,110,2,3,2016,3,9,1
Zootopie,1556396,15556,Walt Disney Pictures,Etats-Unis,Animation 3D,2016-02-17,150000000,Tous publics,108,4,4,2016,2,7,1
Comme des bêtes,1093363,15557,Universal,Etats-Unis,Animation 3D,2016-07-27,75000000,Tous publics,90,5,6,2016,7,30,3
Seul contre tous,68601,15558,Sony Pictures,Etats-Unis,Drame,2016-09-03,35000000,Tous publics,123,5,8,2016,9,35,3
Agents presque secrets,250737,15560,Universal,Etats-Unis,Comédie,2016-08-24,50000000,Tous publics,107,10,6,2016,8,34,3
Back Home,36794,15569,Memento Films,Norvège,Drame,2015-09-12,8140253,Tous publics,109,2,6,2015,9,37,3
Les Animaux fantastiques,1420401,15601,Warner Bros.,Etats-Unis,Fantasy,2016-11-16,180000000,Tous publics,133,8,3,2016,11,46,4
Rogue One: A Star Wars Story,1798117,15602,Walt Disney Pictures,Etats-Unis,Fantasy,2016-12-14,200000000,Tous publics,133,2,4,2016,12,50,4
S.O.S. Fantômes (2016),197408,15605,Sony Pictures,Etats-Unis,Comédie,2016-10-08,144000000,Tous publics,108,5,4,2016,10,40,4
Le Bon gros géant,322157,15606,Metropolitan,Etats-Unis,Fantasy,2016-07-20,140000000,Tous publics,117,22,3,2016,7,29,3
Tarzan (2016),492673,15607,Warner Bros.,Etats-Unis,Aventure - Action,2016-06-07,180000000,Tous publics,109,8,2,2016,6,23,2
Dirty papy,126264,15615,Metropolitan,Etats-Unis,Comédie,2016-03-02,11500000,Tous publics,102,11,6,2016,3,9,1
"Ave, César!",368023,15618,Universal,Etats-Unis,Comédie,2016-02-17,22000000,Tous publics,100,10,19,2016,2,7,1
Angry Birds - Le Film,334916,15619,Sony Pictures,Etats-Unis,Animation 3D,2016-11-05,73000000,Tous publics,97,7,6,2016,11,44,4
The Finest Hours,53209,15621,Walt Disney Pictures,Etats-Unis,Aventure - Action,2016-02-24,70000000,Tous publics,109,5,6,2016,2,8,1
Mise à l'épreuve 2,30388,15625,Universal,Etats-Unis,Comédie,2016-03-30,40000000,Tous publics,102,4,5,2016,3,13,1
Jack Reacher 2,489442,15627,Paramount,Etats-Unis,Thriller,2016-10-19,60000000,Tous publics,118,8,24,2016,10,42,4
Doctor Strange,1001793,15628,Walt Disney Pictures,Etats-Unis,Comicbook,2016-10-26,165000000,Tous publics,115,5,4,2016,10,43,4
Nos pires voisins 2,217611,15634,Universal,Etats-Unis,Comédie,2016-06-07,35000000,Tous publics,91,8,6,2016,6,23,2
Sully,505048,15635,Warner Bros.,Etats-Unis,Drame,2016-11-30,60000000,Tous publics,96,21,23,2016,11,48,4
"Vaiana, la légende du bout du monde",1073991,15636,Walt Disney Pictures,Etats-Unis,Animation 3D,2016-11-30,150000000,Tous publics,103,5,7,2016,11,48,4
Norm,259795,15639,La Belle Company,Etats-Unis,Animation 3D,2016-12-21,18000000,Tous publics,86,3,6,2016,12,51,4
The Nice Guys,80135,15648,EuropaCorp,Etats-Unis,Thriller,2016-05-15,50000000,Tous publics,115,3,9,2016,5,19,2
Deepwater,174284,15649,SND,Etats-Unis,Catastrophe,2016-12-10,110000000,Tous publics,107,9,22,2016,12,49,4
La Grande muraille,375857,15652,Universal,Etats-Unis,Aventure - Action,2017-11-01,150000000,Tous publics,104,3,24,2017,11,44,4
Passengers (2016),586756,15653,Sony Pictures,Etats-Unis,Science Fiction,2016-12-28,110000000,Tous publics,116,3,8,2016,12,52,4
Triple 9,163624,15655,Mars Distribution,Etats-Unis,Thriller,2016-03-16,20000000,Moins de 12 ans,115,5,2,2016,3,11,1
Eddie the Eagle,51964,15656,20th Century Fox,Grande-Bretagne,Drame,2016-04-05,23000000,Tous publics,105,6,4,2016,4,14,2
Midnight Special,132693,15739,Warner Bros.,Etats-Unis,Science Fiction,2016-03-16,18000000,Tous publics,111,2,7,2016,3,11,1
Wonder Woman,755369,15745,Warner Bros.,Etats-Unis,Comicbook,2017-07-06,149000000,Tous publics,141,2,2,2017,7,27,3
xXx : Reactivated,450091,15746,Paramount,Etats-Unis,Aventure - Action,2017-01-18,80000000,Tous publics,107,5,14,2017,1,3,1
La Planète des Singes - Suprématie,1016520,15748,20th Century Fox,Etats-Unis,Science Fiction,2017-02-08,150000000,Tous publics,140,4,12,2017,2,6,1
Alien: Covenant,675785,15749,20th Century Fox,Etats-Unis,Science Fiction,2017-10-05,97000000,Moins de 12 ans,122,18,10,2017,10,40,4
Valérian et la Cité des Mille Planètes,1640681,15750,EuropaCorp,France,Science Fiction,2017-07-26,197471676,PG,132,9,5,2017,7,30,3
Quand on a 17 ans,90058,15765,Wild Bunch,France,Drame,2016-03-30,5334812,Tous publics,114,6,3,2016,3,13,1
Ratchet et Clank,97190,15785,La Belle Company,Canada,Animation 3D,2016-04-13,20000000,Tous publics,94,4,5,2016,4,15,2
Elvis & Nixon,28311,15791,Warner Bros.,Etats-Unis,Drame,2016-07-20,4000000,Tous publics,86,3,5,2016,7,29,3
Joyeuse Fête des Mères,133690,15802,UGC Distribution,Etats-Unis,Comédie,2016-05-25,25000000,Tous publics,118,6,8,2016,5,21,2
Elle,213665,15808,SBS Distribution,France,Thriller,2016-05-25,8208546,Moins de 12 ans,130,4,4,2016,5,21,2
Ghost In The Shell (2017),472608,15820,Paramount,Etats-Unis,Science Fiction,2017-03-29,110000000,Tous publics,106,6,8,2017,3,13,1
Kingsman 2 : Le Cercle d'or,641173,15821,20th Century Fox,Etats-Unis,Aventure - Action,2017-11-10,104000000,Tous publics,141,6,8,2017,11,45,4
Justice League,834493,15832,Warner Bros.,Etats-Unis,Comicbook,2017-11-15,280000000,Tous publics,120,5,11,2017,11,46,4
Bridget Jones's Baby,632202,15833,Studiocanal,Etats-Unis,Romance,2016-05-10,35000000,Tous publics,122,1,4,2016,5,19,2
Insaisissables 2,910322,15834,SND,Etats-Unis,Thriller,2016-07-27,90000000,Tous publics,129,5,12,2016,7,30,3
Miss Peregrine et les enfants particuliers,754984,15836,20th Century Fox,Etats-Unis,Fantasy,2016-05-10,110000000,Tous publics,127,17,2,2016,5,19,2
Les 7 Mercenaires (2016),287584,15838,Sony Pictures,Etats-Unis,Western,2016-09-28,90000000,Tous publics,133,11,4,2016,9,39,3
Juste La Fin Du Monde,405031,15852,Diaphana,France,Drame,2016-09-21,6900000,Tous publics,95,1,4,2016,9,38,3
Transformers: The Last Knight,810533,15854,Paramount,Etats-Unis,Science Fiction,2017-06-28,217000000,Tous publics,149,12,22,2017,6,26,2
Logan,932601,15860,20th Century Fox,Etats-Unis,Comicbook,2017-01-03,97000000,Moins de 12 ans,135,10,11,2017,1,1,1
The Neon Demon,70316,15861,Le Pacte,Etats-Unis,Thriller,2016-08-06,7000000,Moins de 12 ans,117,2,7,2016,8,31,3
