iter	Passed	Remaining
815	1228	276
816	1229	275
817	1230	273
818	1232	272
819	1233	270
820	1234	269
821	1236	267
822	1239	266
823	1240	264
824	1242	263
825	1243	261
826	1244	260
827	1246	258
828	1247	257
829	1248	255
830	1250	254
831	1251	252
832	1252	251
833	1253	249
834	1255	248
835	1256	246
836	1257	244
837	1259	243
838	1260	241
839	1261	240
840	1262	238
841	1263	237
842	1265	235
843	1266	234
844	1268	232
845	1270	231
846	1271	229
847	1272	228
848	1273	226
849	1274	224
850	1276	223
851	1277	221
852	1278	220
853	1279	218
854	1281	217
855	1282	215
856	1284	214
857	1286	212
858	1287	211
859	1289	209
860	1290	208
861	1292	206
862	1293	205
863	1294	203
864	1297	202
865	1299	201
866	1300	199
867	1302	198
868	1303	196
869	1304	194
870	1306	193
871	1307	191
872	1309	190
873	1311	189
874	1312	187
875	1313	185
876	1314	184
877	1316	182
878	1317	181
879	1318	179
880	1320	178
881	1322	176
882	1323	175
883	1325	173
884	1326	172
885	1328	170
886	1330	169
887	1331	167
888	1333	166
889	1334	164
890	1336	163
891	1337	161
892	1338	160
893	1340	158
894	1342	157
895	1344	156
896	1346	154
897	1347	153
898	1349	151
899	1350	150
900	1352	148
901	1353	147
902	1355	145
903	1356	144
904	1358	142
905	1359	141
906	1361	139
907	1362	138
908	1364	136
909	1365	135
910	1367	133
911	1368	132
912	1369	130
913	1371	129
914	1373	127
915	1375	126
916	1376	124
917	1378	123
918	1379	121
919	1380	120
920	1381	118
921	1383	117
922	1384	115
923	1385	113
924	1386	112
925	1388	110
926	1389	109
927	1390	107
928	1392	106
929	1393	104
930	1395	103
931	1396	101
932	1397	100
933	1398	98
934	1399	97
935	1401	95
936	1402	94
937	1403	92
938	1404	91
939	1405	89
940	1407	88
941	1408	86
942	1409	85
943	1410	83
944	1411	82
945	1413	80
946	1414	79
947	1415	77
948	1417	76
949	1418	74
950	1419	73
951	1420	71
952	1421	70
953	1423	68
954	1424	67
955	1425	65
956	1427	64
957	1428	62
958	1429	61
959	1430	59
960	1431	58
961	1433	56
962	1434	55
963	1436	53
964	1437	52
965	1438	50
966	1440	49
967	1442	47
968	1443	46
969	1445	44
970	1446	43
971	1447	41
972	1449	40
973	1450	38
974	1452	37
975	1454	35
976	1455	34
977	1456	32
978	1458	31
979	1459	29
980	1460	28
981	1462	26
982	1463	25
983	1464	23
984	1466	22
985	1467	20
986	1469	19
987	1470	17
988	1472	16
989	1473	14
990	1474	13
991	1476	11
992	1477	10
993	1479	8
994	1480	7
995	1481	5
996	1483	4
997	1485	2
998	1486	1
999	1487	0
